feature,confirmed,tentative,ranking
NetHeight,True,False,1
NetLength,True,False,1
DestinationLatitude,True,False,1
TypeMissing,True,False,1
TotalCost_mean_6m_lane_state,True,False,1
TotalCost_max_3m_lane_state,True,False,1
TotalCost_std_2w_lane_zip3,True,False,1
TotalCost_min_2w_lane_zip3,True,False,1
TotalCost_std_6m_lane_state,True,False,1
TotalCost_count_6m_lane_state,True,False,1
HaversineMiles,True,False,1
TotalCostOriginMean,True,False,1
Origin_Light_Wage,True,False,1
LengthOfHaul,True,False,1
delta_lat,True,False,1
TotalCost_min_3m_lane_state,False,True,2
delta_lon,False,True,2
Destination_Light_Employment,False,True,2
Origin_Light_Employment,False,True,2
TotalCost_min_6m_lane_state,False,True,2
VehicleYearMean,False,True,2
TotalCost_max_6m_lane_state,False,True,2
TotalCostDestinationMean,False,True,2
OriginZip3_TE,False,True,2
Origin_Heavy_LQ,False,False,3
Destination_Light_Wage,False,False,3
DestinationZip3,False,False,5
Origin_Light_EmploymentPer1000,False,False,5
AutoManufacturerInventoryValue,False,False,7
FreightTSIndexChange,False,False,7
Destination_Heavy_Wage,False,False,9
Origin_Heavy_Wage,False,False,9
DestinationZip3_TE,False,False,12
DestinationState,False,False,12
delivery_date_days,False,False,12
AutoPersonalConsumptionExpenditures,False,False,12
TotalCost_count_2w_lane_zip3,False,False,14
Destination_Heavy_LQ,False,False,15
Destination_RUCC_2023,False,False,17
CreationDate_day_of_week_sin,False,False,17
LightWeightVehicleSales,False,False,19
OriginState,False,False,19
NetWheelBase,False,False,20
OriginGasPrice,False,False,21
Destination_Light_EmploymentPer1000,False,False,22
OriginZip3,False,False,23
ChangeMatrix_InboundIndex,False,False,24
EquipmentType,False,False,25
lead_time_days,False,False,26
RecessionIndicator,False,False,27
CreationDate_day_of_year_sin,False,False,29
ConsumerGoodsIndustrialProduction,False,False,29
Enclosed,False,False,31
DestinationZipZone,False,False,31
CreationDate_is_eoq,False,False,40
TypeTruckVanSmall,False,False,40
ItemCount,False,False,40
CreationDate_is_holiday,False,False,40
CreationDate_is_weekend,False,False,40
IsEV,False,False,40
TypeSUVMinivan,False,False,40
TypePassengerCar,False,False,40
FuelTypeKnown,False,False,40
MarketPlaceShipment,False,False,40
TruckTonnageIndex,False,False,40
AutoIPManufacturing,False,False,40
AutoInventorySalesRatio,False,False,40
Origin_RUCC_2023,False,False,40
ChangeMatrix_OutboundIndex,False,False,40
CreationDate_day_of_week_cos,False,False,40
Expedited,False,False,40
