,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
SourceId,147621.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
Expedited,147621.0,0.014665935063439484,0.12021207636650594,0.0,0.0,0.0,0.0,1.0,0.0,8.074740160926005,63.202284943984694
TotalMiles,147621.0,396.79016535587755,401.70449469462653,0.0,108.0,260.0,522.0,1927.0,0.0,1.667432437854305,2.374551548077839
ItemCount,147621.0,1.4201299273138646,1.4487251797506424,-1.0,1.0,1.0,1.0,11.0,0.0,3.8626478159046354,14.49717917219883
NumberOfPick,147621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NumberOfDrop,147621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TotalCost,147621.0,627.5147647692402,663.5989048295988,1.0,180.0,325.0,825.0,3250.0,0.0,1.6836324384343757,2.1817064443534764
Enclosed,147621.0,0.000609669355985937,0.024684039109026546,0.0,0.0,0.0,0.0,1.0,0.0,40.463158754037735,1635.2893715946789
Assigned,147621.0,45980.6237464711,141.95149538488047,45728.67130085648,45866.54087180556,45980.67446040509,46097.547057523145,46244.93802915509,0.0,-0.03183245381798705,-1.0904961866139355
PendingPickup,147621.0,45978.825674170155,142.22261820360185,45728.66825979167,45862.73719136574,45978.926042280094,46093.876482997686,46244.93765283565,0.0,-0.028167108639624922,-1.0906780175660378
MarketPlaceShipment,147621.0,0.4778452930138666,0.49951061967775684,0.0,0.0,0.0,1.0,1.0,0.0,0.08870685136211562,-1.992158084876902
MarketplaceCovered,147621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginLatitude,147621.0,36.50504597177908,4.706680243651073,25.6147,32.8166,36.1311,40.7111,48.2739,0.0,-0.1697701893340089,-0.966009436104621
OriginLongitude,147621.0,-89.48874437512279,12.405014349389136,-124.1813,-97.1298,-88.0036,-80.1341,-68.738,0.0,-0.49799913029383763,-0.42385506451076127
DestinationLatitude,147621.0,36.52897949885179,4.643593016688751,24.5586,32.6232,36.1568,40.141,48.9366,0.0,-0.12781959937446993,-0.9192306407022675
DestinationLongitude,147621.0,-89.48791316818068,12.399301564773443,-123.802,-97.0468,-88.0194,-79.9284,-68.7453,0.0,-0.5004505506587233,-0.4146166139262264
NetHeight,147621.0,67.98417449028605,9.313318899273938,0.0,63.0,66.5,72.1,132.0,0.0,1.3283934559705757,5.205064673019633
NetLength,147621.0,196.13723028637298,21.07893935604133,17.34,183.8,191.73333333333332,203.9,300.0,0.0,0.5826876684501421,3.4832939807600662
NetWheelBase,147621.0,106.2020306079494,37.68146014450105,0.0,106.52857142857144,112.7,120.48571428571428,204.5,0.0,-1.9681563562180004,3.4271526084860606
IsEV,147621.0,0.00023709363843897548,0.015396071926716347,0.0,0.0,0.0,0.0,1.0,0.0,64.92171246327084,4212.88582621651
IsHybrid,147621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuelTypeKnown,147621.0,0.003935754398086993,0.06261222557825502,0.0,0.0,0.0,0.0,1.0,0.0,15.845818029723217,249.0933237990582
TypePassengerCar,147621.0,0.0014970769741432452,0.05037921135670898,0.0,0.0,0.0,0.0,9.0,0.0,89.49889730760998,14073.07050684597
TypeSUVMinivan,147621.0,0.011631136491420597,0.21442097317408268,0.0,0.0,0.0,0.0,12.0,0.0,31.21771467101425,1156.643797365833
TypeTruckVanSmall,147621.0,0.000406446237323958,0.021458727589079345,0.0,0.0,0.0,0.0,2.0,0.0,57.53064924254942,3698.717109913531
TypeTruckVanMedium,147621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
