,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
ShipmentId,305838.0,532154.3580849993,237516.1321212906,25.0,339221.5,527318.5,740852.75,982186.0,0.0,-0.10824235638750293,-0.9624939358642566
SourceId,305838.0,3.8824344914628006,0.4704360656831864,2.0,4.0,4.0,4.0,4.0,0.0,-3.7515842277940186,12.074463178052357
Expedited,305838.0,0.014553456405024883,0.11975683782072327,0.0,0.0,0.0,0.0,1.0,0.0,8.107256787730448,63.72802936585541
TotalMiles,305838.0,911.8890781067101,1401.5987967907759,0.0,138.0,342.0,1047.0,26288.0,0.0,3.1984367376559346,14.438592886976737
ItemCount,305838.0,1.4569249079578077,1.5089289344936123,-1.0,1.0,1.0,1.0,21.0,0.0,3.6654902573119106,12.871863878765366
NumberOfPick,305838.0,0.055444385589756666,0.23251707377366987,0.0,0.0,0.0,0.0,5.0,0.0,4.140498766198632,17.40968854000147
NumberOfDrop,305838.0,0.06689162236216559,0.3190064175605276,0.0,0.0,0.0,0.0,7.0,0.0,7.0146004933152435,69.7928923620194
TotalCost,305838.0,1045.3339415311373,1209.7158731593245,0.01,210.0,500.0,1500.0,21600.0,0.0,1.9742213589822424,5.143780447928124
Enclosed,287809.0,0.005489751884061999,0.07388933263979779,0.0,0.0,0.0,0.0,1.0,5.894950921729804,13.38525242685432,177.166213667973
Assigned,279194.0,45991.96057671712,146.5018162847285,45728.668351238426,45874.47962052084,45992.76223758102,46118.61060773439,46245.61039100694,8.711801672781014,-0.07812999404259247,-1.1560848215269146
PendingPickup,263595.0,45988.97780314324,146.12707650094842,45728.66825979167,45870.66226501736,45986.582729456015,46114.51430403357,46245.61039100694,13.812214309536422,-0.055626858341323554,-1.1511105980375396
MarketPlaceShipment,305838.0,0.4526383248647977,0.49775263115616775,0.0,0.0,0.0,1.0,1.0,0.0,0.19030330284590025,-1.9637974950451975
MarketplaceCovered,305838.0,0.021187687599317287,0.14400985141089645,0.0,0.0,0.0,0.0,1.0,0.0,6.649759566863005,42.21957838816596
