feature,vif_at_removal
TotalManufacturerValueofShipments,78370512.05216908
TotalVehicleSales,51320157.44499947
VehicleCount,49980901.16717505
OriginLongitude,49005869.540779464
AllCommoditiesProducerPriceIndex,46682979.27026332
OriginLatitude,45887421.94190682
CapitalGoodsManufacturersNewOrders,25838191.092137624
Origin_Heavy_EmploymentPer1000,37350.83190862988
TotalBusinessInventories,33213.36257961677
Destination_Heavy_EmploymentPer1000,20383.2957301389
FreightTSIndex,16101.543451261345
Origin_Light_LQ,13576.706624152364
Destination_Light_LQ,11575.390098591837
TotalWeight,4824.419747868722
Assigned,2798.254895408312
TruckingLDProducerPriceIndex,1053.0432853337306
VehicleWeightKnownCount,449.8609724333012
OriginWDieselPrice,413.4225304890263
TotalManufacturerInventoryShipmentsRatios,331.87686696121494
PendingPickup,206.718096711581
TotalManufacturerInventoryValue,154.1627975049239
TotalCost_mean_3m_lane_state,140.24052571934436
DestinationMDieselPrice,120.64560593125856
CapitalGoodsManufacturersValueOfShipments,118.77852265253803
WeighedVehicleCount,103.01885283930216
TotalCost_count_3m_lane_state,68.51025456820392
Destination_Heavy_Employment,66.73839310058548
DestinationGasPrice,54.46799736714765
Origin_Heavy_Employment,48.464379503010356
TotalCost_mean_2w_lane_zip3,46.30663353767255
DestinationLongitude,29.91423539705553
TotalCost_max_2w_lane_zip3,28.59804320811345
AutoManufacturerValueOfShipments,24.560405399179206
VehicleWeightSum,22.808619011834903
DestinationWDieselPrice,20.716260418988124
TotalMiles,18.65803660664807
TotalCost_std_3m_lane_state,17.309748875602136
TruckingProducerPriceIndex,16.993782856981763
OriginZipZone,16.86973680191233
TotalMiles_TE,14.650220115337834
CreationDate_day_of_year_cos,12.57097491868838
OriginMDieselPrice,12.1972321841917
