,0
TotalCost_min_6m_lane_state,9.664310140679927
TotalCost_mean_6m_lane_state,9.495222452605448
TotalCost_min_3m_lane_state,8.962149709402507
HaversineMiles,8.747727646388979
AutoPersonalConsumptionExpenditures,7.839681941875166
TotalCost_count_6m_lane_state,7.776197986892788
TotalCost_max_3m_lane_state,7.633478276590216
TotalCost_max_6m_lane_state,7.433765188166129
CreationDate_day_of_year_sin,7.392048003593457
TruckTonnageIndex,7.0699074815919305
LengthOfHaul,6.759204791848149
TotalCostDestinationMean,6.563946224408811
FreightTSIndexChange,6.337243006924111
TotalCostOriginMean,6.201841246350177
AutoManufacturerInventoryValue,5.785432169912789
TotalCost_std_6m_lane_state,5.490671862293159
AutoIPManufacturing,5.459306130067368
DestinationZip3_TE,5.409028146205061
ConsumerGoodsIndustrialProduction,5.348555110121288
TotalCost_min_2w_lane_zip3,5.094018021236805
OriginZip3_TE,4.851653829210518
OriginGasPrice,4.694004407761941
RecessionIndicator,4.447641804284579
Destination_Light_Employment,4.2760652321514305
Origin_Light_Employment,4.215006815788667
DestinationLatitude,4.104215259324138
AutoInventorySalesRatio,3.8691113796166987
LightWeightVehicleSales,3.7937561498771304
DestinationZipZone,3.7859315361579227
Destination_Light_Wage,3.4555198391340647
Destination_Heavy_Wage,3.0902346989600367
Origin_Heavy_Wage,3.0110986382321965
Origin_Light_Wage,3.0049662212715864
NetHeight,2.992970282890283
Origin_Heavy_LQ,2.7623136725879154
NetLength,2.7482500379416255
Destination_Heavy_LQ,2.6637976915491985
Destination_Light_EmploymentPer1000,2.213500958517531
ChangeMatrix_InboundIndex,2.199555556654356
Origin_Light_EmploymentPer1000,2.196507398841623
delivery_date_days,2.129742423161551
lead_time_days,2.03436704221338
TypeMissing,1.9356836187201016
TotalCost_std_2w_lane_zip3,1.809000023333706
TotalCost_count_2w_lane_zip3,1.7543041286762473
CreationDate_day_of_week_sin,1.7445172500883859
CreationDate_is_weekend,1.7428662967027233
VehicleYearMean,1.7207504058360452
NetWheelBase,1.6915523688735485
ChangeMatrix_OutboundIndex,1.6844034908574754
FuelTypeKnown,1.667297021238901
MarketPlaceShipment,1.5640045183394975
delta_lat,1.3854522460458054
ItemCount,1.3114975363609611
TypeSUVMinivan,1.2987117585895238
Origin_RUCC_2023,1.2930642150584886
Destination_RUCC_2023,1.2436373433696248
delta_lon,1.2270933066348975
TypePassengerCar,1.2168814802173242
TypeTruckVanSmall,1.0906607310353904
CreationDate_day_of_week_cos,1.0806046023049831
CreationDate_is_eoq,1.0762307635637038
IsEV,1.067996458921658
Expedited,1.0459413102246786
CreationDate_is_holiday,1.039029630239823
Enclosed,1.0104133618842772
